"Status","Year","Age","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Accountant in Bankruptcy","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","North West (England)","[c]","[c]","[c]","[c]"
