"Status","Year","Region_ITL1","Ethnicity","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Asian","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Crown Prosecution Service","50","50","36170","28430"
"In post","2021","East Midlands (England)","Asian","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Department for Work and Pensions (excl. agencies)","600","520","24540","27570"
"In post","2021","East Midlands (England)","Asian","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","HM Courts and Tribunals Service","200","180","20840","19830"
"In post","2021","East Midlands (England)","Asian","HM Land Registry","90","80","29120","27130"
"In post","2021","East Midlands (England)","Asian","HM Prison and Probation Service","150","140","29880","28220"
"In post","2021","East Midlands (England)","Asian","HM Revenue and Customs (excl. agencies)","400","370","28960","25560"
"In post","2021","East Midlands (England)","Asian","Home Office (incl. agencies)","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Department for Work and Pensions (excl. agencies)","150","140","25430","27570"
"In post","2021","East Midlands (England)","Black","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","HM Courts and Tribunals Service","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Black","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","HM Prison and Probation Service","120","110","27970","26580"
"In post","2021","East Midlands (England)","Black","HM Revenue and Customs (excl. agencies)","70","70","28220","25560"
"In post","2021","East Midlands (England)","Black","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Department for Work and Pensions (excl. agencies)","90","80","25800","27570"
"In post","2021","East Midlands (England)","Mixed","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","HM Prison and Probation Service","80","80","30030","27530"
"In post","2021","East Midlands (England)","Mixed","HM Revenue and Customs (excl. agencies)","50","50","30490","26400"
"In post","2021","East Midlands (England)","Mixed","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Department for Work and Pensions (excl. agencies)","200","180","25700","27570"
"In post","2021","East Midlands (England)","Undeclared","Driver and Vehicle Standards Agency","50","50","31060","30150"
"In post","2021","East Midlands (England)","Undeclared","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","HM Courts and Tribunals Service","70","60","21190","19830"
"In post","2021","East Midlands (England)","Undeclared","HM Land Registry","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","HM Prison and Probation Service","130","120","30380","28220"
"In post","2021","East Midlands (England)","Undeclared","HM Revenue and Customs (excl. agencies)","160","150","33270","31810"
"In post","2021","East Midlands (England)","Undeclared","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Ministry of Defence (excl. agencies)","90","90","30600","26670"
"In post","2021","East Midlands (England)","Undeclared","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Advisory, Conciliation and Arbitration Service","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Crown Prosecution Service","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Department for Work and Pensions (excl. agencies)","280","260","25560","27570"
"In post","2021","East Midlands (England)","Unknown","Driver and Vehicle Standards Agency","110","110","31310","26780"
"In post","2021","East Midlands (England)","Unknown","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Health and Safety Executive","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","HM Courts and Tribunals Service","120","110","20500","18880"
"In post","2021","East Midlands (England)","Unknown","HM Land Registry","120","120","27120","22350"
"In post","2021","East Midlands (England)","Unknown","HM Prison and Probation Service","530","500","25700","24920"
"In post","2021","East Midlands (England)","Unknown","HM Revenue and Customs (excl. agencies)","950","900","27590","25560"
"In post","2021","East Midlands (England)","Unknown","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Ministry of Defence (excl. agencies)","130","130","28950","25290"
"In post","2021","East Midlands (England)","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Office of the Public Guardian","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Rural Payments Agency","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Valuation Office Agency","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
