"Status","Year","Age","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Commercial","[c]","[c]","[c]","[c]"
