"Status","Year","Region_ITL3","Responsibility_level","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","North Eastern Scotland","550","500","25300","22230"
"In post","2021","Aberdeen City and Aberdeenshire","EO","North Eastern Scotland","600","560","29290","27570"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","North Eastern Scotland","130","130","66530","61010"
"In post","2021","Aberdeen City and Aberdeenshire","SCS","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","North Eastern Scotland","590","560","46020","39100"
"In post","2021","Angus and Dundee City","AA/AO","Eastern Scotland","1110","1010","21120","21010"
"In post","2021","Angus and Dundee City","EO","Eastern Scotland","490","450","27430","27570"
"In post","2021","Angus and Dundee City","G6/G7","Eastern Scotland","70","70","61750","61010"
"In post","2021","Angus and Dundee City","SCS","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Eastern Scotland","230","220","36870","34290"
"In post","2021","Antrim and Newtownabbey","AA/AO","Northern Ireland","150","150","20680","20310"
"In post","2021","Antrim and Newtownabbey","EO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","G6/G7","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","SEO/HEO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","AA/AO","Northern Ireland","170","170","21240","20310"
"In post","2021","Ards and North Down","EO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","G6/G7","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","SEO/HEO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","AA/AO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","AA/AO","Outer London - East and North East","110","100","23280","23210"
"In post","2021","Barking & Dagenham and Havering","EO","Outer London - East and North East","380","350","30980","31060"
"In post","2021","Barking & Dagenham and Havering","G6/G7","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","Outer London - East and North East","50","50","38340","37290"
"In post","2021","Barking & Dagenham and Havering","Unknown","Outer London - East and North East","50","40","[c]","[c]"
"In post","2021","Barnet","AA/AO","Outer London - West and North West","270","240","23800","23530"
"In post","2021","Barnet","EO","Outer London - West and North West","440","410","30040","31060"
"In post","2021","Barnet","G6/G7","Outer London - West and North West","310","300","60050","56490"
"In post","2021","Barnet","SCS","Outer London - West and North West","40","40","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Outer London - West and North West","570","550","38940","39690"
"In post","2021","Barnet","Unknown","Outer London - West and North West","50","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","AA/AO","South Yorkshire","1510","1340","23120","21010"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","South Yorkshire","940","820","28310","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SCS","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","South Yorkshire","310","290","37620","35570"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","South Yorkshire","210","190","29510","30210"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","760","700","23120","21130"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Gloucestershire, Wiltshire and Bath/Bristol area","2610","2480","24800","25750"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Gloucestershire, Wiltshire and Bath/Bristol area","1920","1870","57400","55220"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS","Gloucestershire, Wiltshire and Bath/Bristol area","150","150","100420","92370"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Gloucestershire, Wiltshire and Bath/Bristol area","6380","6150","36560","36550"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","1530","1480","41280","39100"
"In post","2021","Bedford","AA/AO","Bedfordshire and Hertfordshire","290","280","25890","25840"
"In post","2021","Bedford","EO","Bedfordshire and Hertfordshire","280","260","27760","27570"
"In post","2021","Bedford","G6/G7","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","SCS","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","SEO/HEO","Bedfordshire and Hertfordshire","160","160","38070","36950"
"In post","2021","Bedford","Unknown","Bedfordshire and Hertfordshire","70","60","27390","23840"
"In post","2021","Belfast","AA/AO","Northern Ireland","1000","900","20660","20140"
"In post","2021","Belfast","EO","Northern Ireland","820","770","26290","25560"
"In post","2021","Belfast","G6/G7","Northern Ireland","210","210","54770","52580"
"In post","2021","Belfast","SCS","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","SEO/HEO","Northern Ireland","760","740","34280","31810"
"In post","2021","Berkshire","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","1000","960","27560","25540"
"In post","2021","Berkshire","EO","Berkshire, Buckinghamshire and Oxfordshire","800","750","30940","29290"
"In post","2021","Berkshire","G6/G7","Berkshire, Buckinghamshire and Oxfordshire","290","280","56950","54540"
"In post","2021","Berkshire","SCS","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","SEO/HEO","Berkshire, Buckinghamshire and Oxfordshire","650","620","37850","36840"
"In post","2021","Berkshire","Unknown","Berkshire, Buckinghamshire and Oxfordshire","190","190","31760","31910"
"In post","2021","Bexley and Greenwich","AA/AO","Outer London - East and North East","880","840","28470","28720"
"In post","2021","Bexley and Greenwich","EO","Outer London - East and North East","550","510","32070","31060"
"In post","2021","Bexley and Greenwich","G6/G7","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","SEO/HEO","Outer London - East and North East","190","190","41490","39670"
"In post","2021","Bexley and Greenwich","Unknown","Outer London - East and North East","130","130","33350","33950"
"In post","2021","Birmingham","AA/AO","West Midlands","3570","3230","21010","20180"
"In post","2021","Birmingham","EO","West Midlands","3310","3060","26620","27570"
"In post","2021","Birmingham","G6/G7","West Midlands","1150","1100","57620","54200"
"In post","2021","Birmingham","SCS","West Midlands","110","100","99910","94650"
"In post","2021","Birmingham","SEO/HEO","West Midlands","3020","2900","35690","33350"
"In post","2021","Birmingham","Unknown","West Midlands","440","400","30160","28200"
"In post","2021","Blackburn with Darwen","AA/AO","Lancashire","150","130","21040","21010"
"In post","2021","Blackburn with Darwen","EO","Lancashire","220","200","27500","27570"
"In post","2021","Blackburn with Darwen","G6/G7","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","SCS","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","SEO/HEO","Lancashire","50","40","[c]","[c]"
"In post","2021","Blackburn with Darwen","Unknown","Lancashire","70","60","28470","28200"
"In post","2021","Blackpool","AA/AO","Lancashire","1760","1580","20840","21010"
"In post","2021","Blackpool","EO","Lancashire","1860","1680","27440","27570"
"In post","2021","Blackpool","G6/G7","Lancashire","420","400","55530","52730"
"In post","2021","Blackpool","SCS","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","SEO/HEO","Lancashire","1020","970","34490","34290"
"In post","2021","Blackpool","Unknown","Lancashire","70","70","29310","30210"
"In post","2021","Bournemouth and Poole","AA/AO","Dorset and Somerset","200","180","20310","20100"
"In post","2021","Bournemouth and Poole","EO","Dorset and Somerset","330","290","27070","27570"
"In post","2021","Bournemouth and Poole","G6/G7","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","SEO/HEO","Dorset and Somerset","80","70","34550","33300"
"In post","2021","Bournemouth and Poole","Unknown","Dorset and Somerset","100","90","28540","25460"
"In post","2021","Bradford","AA/AO","West Yorkshire","1330","1120","20480","20140"
"In post","2021","Bradford","EO","West Yorkshire","950","850","26690","27570"
"In post","2021","Bradford","G6/G7","West Yorkshire","180","170","54880","52580"
"In post","2021","Bradford","SCS","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","SEO/HEO","West Yorkshire","500","470","34120","31990"
"In post","2021","Bradford","Unknown","West Yorkshire","120","120","30150","30210"
"In post","2021","Breckland and South Norfolk","AA/AO","East Anglia","300","290","24220","23420"
"In post","2021","Breckland and South Norfolk","EO","East Anglia","130","120","28750","27570"
