"Status","Year","Age","Ethnicity","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
