"Status","Year","Ethnicity","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Education (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","HM Revenue and Customs (excl. agencies)","70","60","40440","36160"
"In post","2021","Asian","Analysis","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Asian","Analysis","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","United Kingdom Statistics Authority","40","40","[c]","[c]"
"In post","2021","Asian","Analysis","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","HM Prison and Probation Service","40","40","[c]","[c]"
"In post","2021","Asian","Commercial","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
