"Status","Year","Age","Region_ITL3","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","90","90","18130","17780"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedford","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Belfast","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackburn with Darwen","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackpool","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bradford","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bradford","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Breckland and South Norfolk","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brent","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brent","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bridgend and Neath Port Talbot","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bridgend and Neath Port Talbot","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brighton and Hove","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bristol, City of","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bristol, City of","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Buckinghamshire CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Calderdale and Kirklees","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Calderdale and Kirklees","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cambridgeshire CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Camden and City of London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","AA/AO","30","30","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Bedfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Hampshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Valleys","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire East","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire West and Chester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chorley and West Lancashire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","City of Edinburgh","AA/AO","80","80","20940","20850"
"In post","2021","16-19","City of Edinburgh","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Clackmannanshire and Fife","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Coventry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Coventry","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Croydon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Croydon","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derby","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dudley","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dudley","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dumfries and Galloway","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Durham CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Durham CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ealing","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Ayrshire and North Ayrshire mainland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Ayrshire and North Ayrshire mainland","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Kent","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Riding of Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Surrey","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Sussex CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Sussex CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Enfield","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex Haven Gateway","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex Thames Gateway","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Falkirk","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Flintshire and Wrexham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Flintshire and Wrexham","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Glasgow City","AA/AO","30","30","[c]","[c]"
"In post","2021","16-19","Glasgow City","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester North West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester South East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester South West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester South West","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gwent Valleys","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gwynedd","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gwynedd","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hackney and Newham","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Haringey and Islington","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Haringey and Islington","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Harrow and Hillingdon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heart of Essex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hertfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hounslow and Richmond upon Thames","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inverclyde, East Renfrewshire and Renfrewshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inverness and Nairn and Moray, Badenoch and Strathspey","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kensington & Chelsea and Hammersmith & Fulham","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kent Thames Gateway","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kingston upon Hull, City of","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lambeth","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lambeth","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lancaster and Wyre","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leeds","AA/AO","50","50","[c]","[c]"
"In post","2021","16-19","Leeds","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicestershire CC and Rutland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lewisham and Southwark","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Liverpool","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Liverpool","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Manchester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Medway","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mid Kent","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mid Lancashire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mid Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Milton Keynes","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Milton Keynes","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Milton Keynes","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Monmouthshire and Newport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Monmouthshire and Newport","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Na h-Eileanan Siar","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North and North East Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Hampshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Lanarkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Norwich and East Norfolk","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Norwich and East Norfolk","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Nottingham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Nottingham","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Orkney Islands","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Perth and Kinross and Stirling","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Peterborough","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Peterborough","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Plymouth","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Plymouth","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Plymouth","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Portsmouth","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Redbridge and Waltham Forest","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Borders","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Sefton","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Sheffield","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Sheffield","EO","[c]","[c]","[c]","[c]"
