"Status","Year","Sex","Age","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","16-19","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Brent","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","City of Edinburgh","50","50","[c]","[c]"
"In post","2021","Female","16-19","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Ealing","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
