"Status","Year","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Heterosexual / straight","6760","6350","44210","45730"
"In post","2021","Attorney General's Departments","LGBO","440","420","45230","43920"
"In post","2021","Attorney General's Departments","Undeclared","380","360","47330","50520"
"In post","2021","Attorney General's Departments","Unknown","2250","2040","47290","51510"
"In post","2021","Cabinet Office","Heterosexual / straight","4420","4300","47980","40600"
"In post","2021","Cabinet Office","LGBO","440","430","44900","40600"
"In post","2021","Cabinet Office","Undeclared","510","490","47740","40600"
"In post","2021","Cabinet Office","Unknown","4100","4050","45320","33250"
"In post","2021","Chancellor's other departments","Heterosexual / straight","300","290","59480","49940"
"In post","2021","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","90","80","59060","50480"
"In post","2021","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","230","220","34440","29160"
"In post","2021","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","180","170","35400","30000"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","690","660","59810","56360"
"In post","2021","Competition and Markets Authority","LGBO","60","60","57440","55860"
"In post","2021","Competition and Markets Authority","Undeclared","60","60","61350","59020"
"In post","2021","Competition and Markets Authority","Unknown","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","7010","6720","43140","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","680","670","43590","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","920","890","44750","40220"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","4550","4350","37020","35580"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","1250","1230","49660","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","180","180","47100","44850"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","110","110","48480","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","240","230","48270","48580"
"In post","2021","Department for Education","Heterosexual / straight","5500","5300","43710","40230"
"In post","2021","Department for Education","LGBO","420","410","43030","37100"
"In post","2021","Department for Education","Undeclared","540","520","44200","40780"
"In post","2021","Department for Education","Unknown","1470","1420","44200","40300"
"In post","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","6960","6620","36990","33120"
"In post","2021","Department for Environment, Food and Rural Affairs","LGBO","510","500","36560","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","840","800","36490","33510"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","2730","2560","33260","29270"
"In post","2021","Department for International Trade","Heterosexual / straight","1540","1520","46460","41180"
"In post","2021","Department for International Trade","LGBO","190","180","47150","42160"
"In post","2021","Department for International Trade","Undeclared","140","140","45790","40050"
"In post","2021","Department for International Trade","Unknown","820","810","44360","38540"
"In post","2021","Department for Transport","Heterosexual / straight","9960","9320","34090","28550"
"In post","2021","Department for Transport","LGBO","580","560","35460","30730"
"In post","2021","Department for Transport","Undeclared","2920","2550","29600","26780"
"In post","2021","Department for Transport","Unknown","2510","2380","31470","26700"
"In post","2021","Department for Work and Pensions","Heterosexual / straight","60560","54760","28360","27570"
"In post","2021","Department for Work and Pensions","LGBO","3740","3580","28160","27570"
"In post","2021","Department for Work and Pensions","Undeclared","7620","6780","28030","27570"
"In post","2021","Department for Work and Pensions","Unknown","21610","18710","27290","27570"
"In post","2021","Department of Health and Social Care","Heterosexual / straight","6810","6350","43820","38890"
"In post","2021","Department of Health and Social Care","LGBO","470","450","42960","36820"
"In post","2021","Department of Health and Social Care","Undeclared","1000","900","45980","40070"
"In post","2021","Department of Health and Social Care","Unknown","3480","3330","48030","41330"
"In post","2021","ESTYN","Heterosexual / straight","100","90","58240","74730"
"In post","2021","ESTYN","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Heterosexual / straight","860","840","38220","35730"
"In post","2021","Food Standards Agency","LGBO","40","40","[c]","[c]"
"In post","2021","Food Standards Agency","Undeclared","120","120","39740","37910"
"In post","2021","Food Standards Agency","Unknown","290","280","32930","28520"
"In post","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","5980","5840","47330","41810"
"In post","2021","Foreign, Commonwealth and Development Office","LGBO","410","410","47700","44760"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","680","670","48140","42420"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","1560","1530","47340","45490"
"In post","2021","HM Land Registry","Heterosexual / straight","3550","3210","32090","27130"
"In post","2021","HM Land Registry","LGBO","140","140","29310","27130"
"In post","2021","HM Land Registry","Undeclared","700","610","32910","27130"
"In post","2021","HM Land Registry","Unknown","1960","1810","28750","27130"
"In post","2021","HM Revenue and Customs","Heterosexual / straight","36690","33830","32870","31810"
"In post","2021","HM Revenue and Customs","LGBO","2220","2130","32240","28130"
"In post","2021","HM Revenue and Customs","Undeclared","4920","4460","33420","31810"
"In post","2021","HM Revenue and Customs","Unknown","22640","20660","28240","25560"
"In post","2021","HM Treasury","Heterosexual / straight","1950","1900","48030","49580"
"In post","2021","HM Treasury","LGBO","170","170","48300","52500"
"In post","2021","HM Treasury","Undeclared","320","310","44490","39980"
"In post","2021","HM Treasury","Unknown","230","230","53680","49590"
"In post","2021","Home Office","Heterosexual / straight","28190","26120","31830","27370"
"In post","2021","Home Office","LGBO","1170","1130","32850","27370"
"In post","2021","Home Office","Undeclared","4230","3880","32750","28650"
"In post","2021","Home Office","Unknown","1780","1740","31790","25770"
"In post","2021","Ministry of Defence","Heterosexual / straight","42240","40820","33790","31600"
"In post","2021","Ministry of Defence","LGBO","1400","1380","32620","29250"
"In post","2021","Ministry of Defence","Undeclared","6580","6340","35180","33300"
"In post","2021","Ministry of Defence","Unknown","7460","7250","35020","33000"
"In post","2021","Ministry of Housing, Communities and Local Government","Heterosexual / straight","2550","2450","45910","42900"
"In post","2021","Ministry of Housing, Communities and Local Government","LGBO","240","230","45820","42980"
"In post","2021","Ministry of Housing, Communities and Local Government","Undeclared","250","240","45550","46060"
"In post","2021","Ministry of Housing, Communities and Local Government","Unknown","360","340","40320","34580"
"In post","2021","Ministry of Justice","Heterosexual / straight","55150","51720","29810","26810"
"In post","2021","Ministry of Justice","LGBO","3560","3470","30080","27150"
"In post","2021","Ministry of Justice","Undeclared","6780","6290","30490","28080"
"In post","2021","Ministry of Justice","Unknown","13410","12480","28630","26550"
"In post","2021","National Crime Agency","Heterosexual / straight","4100","4010","40070","37560"
"In post","2021","National Crime Agency","LGBO","190","190","37170","36410"
"In post","2021","National Crime Agency","Undeclared","340","330","38030","36410"
"In post","2021","National Crime Agency","Unknown","850","820","41510","39840"
"In post","2021","Northern Ireland Office","Heterosexual / straight","80","80","44880","38870"
"In post","2021","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
