"Status","Year","Disability","Age","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Unknown","65+","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","West Central Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","West Midlands","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","West Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","East Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Cheshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Cumbria","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Devon","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Dorset and Somerset","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","East Anglia","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","East Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Eastern Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Essex","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Greater Manchester","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Highlands and Islands","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Inner London - East","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Inner London - West","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Kent","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Lancashire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Lincolnshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Merseyside","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","North Eastern Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","North Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Northern Ireland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Outer London - East and North East","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Outer London - South","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Outer London - West and North West","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","South Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Southern Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","West Central Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","West Midlands","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","16-19","West Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","Berkshire, Buckinghamshire and Oxfordshire","40","40","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","Cheshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","Cumbria","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","Derbyshire and Nottinghamshire","60","50","25080","23140"
"New entrant CS","2022","Declared disabled","20-29","Devon","30","30","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","Dorset and Somerset","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","East Anglia","60","50","23220","23140"
"New entrant CS","2022","Declared disabled","20-29","East Wales","60","60","23970","23170"
"New entrant CS","2022","Declared disabled","20-29","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","Eastern Scotland","70","70","24520","21260"
"New entrant CS","2022","Declared disabled","20-29","Essex","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","110","110","25610","24790"
"New entrant CS","2022","Declared disabled","20-29","Greater Manchester","90","80","24960","23170"
"New entrant CS","2022","Declared disabled","20-29","Hampshire and Isle of Wight","50","50","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","Highlands and Islands","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","Inner London - East","100","90","30620","30750"
"New entrant CS","2022","Declared disabled","20-29","Inner London - West","310","310","31860","31060"
"New entrant CS","2022","Declared disabled","20-29","Kent","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","Lancashire","50","50","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","Lincolnshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","Merseyside","80","80","24320","22790"
"New entrant CS","2022","Declared disabled","20-29","North Eastern Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","North Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","Northern Ireland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","Northumberland, and Tyne and Wear","80","80","23900","21260"
"New entrant CS","2022","Declared disabled","20-29","Outer London - East and North East","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","Outer London - South","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","Outer London - West and North West","30","30","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","South Yorkshire","30","30","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","Southern Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","Surrey, East and West Sussex","30","30","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","West Central Scotland","80","80","24840","21260"
"New entrant CS","2022","Declared disabled","20-29","West Midlands","80","80","25460","24830"
"New entrant CS","2022","Declared disabled","20-29","West Wales and The Valleys","40","30","[c]","[c]"
"New entrant CS","2022","Declared disabled","20-29","West Yorkshire","70","70","26410","23880"
"New entrant CS","2022","Declared disabled","30-39","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","Cheshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","Cumbria","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","Derbyshire and Nottinghamshire","40","40","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","Devon","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","Dorset and Somerset","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","East Anglia","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","East Wales","60","60","28950","24560"
"New entrant CS","2022","Declared disabled","30-39","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","Eastern Scotland","60","50","28760","27230"
"New entrant CS","2022","Declared disabled","30-39","Essex","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","Gloucestershire, Wiltshire and Bath/Bristol area","70","60","31420","28900"
"New entrant CS","2022","Declared disabled","30-39","Greater Manchester","50","50","29440","27570"
"New entrant CS","2022","Declared disabled","30-39","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","Highlands and Islands","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","Inner London - East","50","50","34300","32090"
"New entrant CS","2022","Declared disabled","30-39","Inner London - West","100","100","40740","36150"
"New entrant CS","2022","Declared disabled","30-39","Kent","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","Lancashire","40","40","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","Lincolnshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","Merseyside","50","50","26160","25010"
"New entrant CS","2022","Declared disabled","30-39","North Eastern Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","North Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","Northern Ireland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","Northumberland, and Tyne and Wear","50","50","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","Outer London - East and North East","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","Outer London - South","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","Outer London - West and North West","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","South Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","Southern Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","West Central Scotland","60","60","28810","27230"
"New entrant CS","2022","Declared disabled","30-39","West Midlands","50","50","27320","25660"
"New entrant CS","2022","Declared disabled","30-39","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","30-39","West Yorkshire","50","50","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Cheshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Cumbria","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Derbyshire and Nottinghamshire","50","40","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Devon","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Dorset and Somerset","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","East Anglia","30","30","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","East Wales","40","30","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Eastern Scotland","40","40","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Essex","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Gloucestershire, Wiltshire and Bath/Bristol area","50","50","35310","33000"
"New entrant CS","2022","Declared disabled","40-49","Greater Manchester","30","30","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Highlands and Islands","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Inner London - East","50","40","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Inner London - West","60","60","44970","43850"
"New entrant CS","2022","Declared disabled","40-49","Kent","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Lancashire","30","30","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Lincolnshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Merseyside","40","40","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","North Eastern Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","North Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Northern Ireland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Outer London - East and North East","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Outer London - South","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Outer London - West and North West","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","South Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Southern Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","West Central Scotland","50","50","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","West Midlands","60","60","31320","29750"
"New entrant CS","2022","Declared disabled","40-49","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","40-49","West Yorkshire","50","50","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Cheshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Cumbria","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Derbyshire and Nottinghamshire","40","40","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Devon","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Dorset and Somerset","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","East Anglia","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","East Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Eastern Scotland","40","40","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Essex","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Gloucestershire, Wiltshire and Bath/Bristol area","40","40","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Greater Manchester","40","40","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Highlands and Islands","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Inner London - East","30","30","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Inner London - West","30","30","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Kent","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Lancashire","30","30","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Lincolnshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Merseyside","50","50","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","North Eastern Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","North Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Northern Ireland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Northumberland, and Tyne and Wear","50","40","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Outer London - East and North East","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Outer London - South","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Outer London - West and North West","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","South Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Southern Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","West Central Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","West Midlands","50","50","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","50-59","West Yorkshire","30","30","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Cheshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Cumbria","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Devon","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Dorset and Somerset","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","East Anglia","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","East Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Eastern Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Essex","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Greater Manchester","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Highlands and Islands","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Inner London - East","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Inner London - West","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Kent","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Lancashire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Lincolnshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Merseyside","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","North Eastern Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","North Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Northern Ireland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Outer London - East and North East","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Outer London - South","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Outer London - West and North West","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","South Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Southern Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","West Central Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","West Midlands","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","60-64","West Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","65+","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","65+","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","65+","Cheshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","65+","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","65+","Cumbria","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","65+","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","65+","Devon","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","65+","Dorset and Somerset","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","65+","East Anglia","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","65+","East Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","65+","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","65+","Eastern Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","65+","Essex","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","65+","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","65+","Greater Manchester","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","65+","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","65+","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","65+","Highlands and Islands","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","65+","Inner London - East","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","65+","Inner London - West","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","65+","Kent","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","65+","Lancashire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","65+","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","65+","Lincolnshire","[c]","[c]","[c]","[c]"
