"Status","Year","Ethnicity","Organisation","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","G6/G7","40","40","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","AA/AO","160","140","22740","23520"
"In post","2021","Asian","Crown Prosecution Service","EO","120","110","27990","27760"
"In post","2021","Asian","Crown Prosecution Service","G6/G7","230","210","56350","54770"
"In post","2021","Asian","Crown Prosecution Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","SEO/HEO","90","80","37230","38180"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","EO","100","100","21890","20990"
"In post","2021","Asian","Defence Equipment and Support","G6/G7","30","30","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","SEO/HEO","190","190","35350","33780"
"In post","2021","Asian","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","60","60","28080","27680"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","150","140","57500","53730"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","220","210","37200","35750"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","G6/G7","50","50","58340","55800"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","SEO/HEO","50","50","37640","35090"
"In post","2021","Asian","Department for Education (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","EO","90","90","26790","25000"
"In post","2021","Asian","Department for Education (excl. agencies)","G6/G7","120","120","55740","53690"
"In post","2021","Asian","Department for Education (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","SEO/HEO","230","230","35950","36500"
"In post","2021","Asian","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","50","50","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","50","50","56510","54630"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","130","130","35590","35370"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","EO","30","30","[c]","[c]"
"In post","2021","Asian","Department for International Trade","G6/G7","60","60","53900","51970"
"In post","2021","Asian","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","SEO/HEO","100","100","35430","35560"
"In post","2021","Asian","Department for Transport (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","EO","40","40","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","G6/G7","100","90","58790","54760"
"In post","2021","Asian","Department for Transport (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","SEO/HEO","140","140","38130","35980"
"In post","2021","Asian","Department for Work and Pensions (excl. agencies)","AA/AO","2240","1870","21770","21010"
"In post","2021","Asian","Department for Work and Pensions (excl. agencies)","EO","4500","4150","29000","27570"
"In post","2021","Asian","Department for Work and Pensions (excl. agencies)","G6/G7","100","100","57270","54070"
"In post","2021","Asian","Department for Work and Pensions (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions (excl. agencies)","SEO/HEO","500","480","36160","36650"
"In post","2021","Asian","Department of Health and Social Care (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care (excl. agencies)","G6/G7","50","50","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care (excl. agencies)","SEO/HEO","80","80","35520","33790"
"In post","2021","Asian","Disclosure Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Disclosure Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Disclosure Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Disclosure Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Disclosure Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Licensing Agency","AA/AO","30","30","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Licensing Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Licensing Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Licensing Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Licensing Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Standards Agency","EO","60","60","28710","26780"
"In post","2021","Asian","Driver and Vehicle Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Education and Skills Funding Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Education and Skills Funding Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Education and Skills Funding Agency","G6/G7","50","40","[c]","[c]"
"In post","2021","Asian","Education and Skills Funding Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Education and Skills Funding Agency","SEO/HEO","120","120","35390","36780"
"In post","2021","Asian","Education Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Education Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Education Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Education Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Education Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","FCDO Services","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","FCDO Services","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","FCDO Services","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","FCDO Services","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","FCDO Services","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Asian","Food Standards Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","40","40","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","EO","80","70","30840","30630"
"In post","2021","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","130","120","59300","58470"
"In post","2021","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","150","150","37340","37040"
"In post","2021","Asian","Forestry and Land Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Forestry and Land Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Forestry and Land Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Forestry and Land Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Forestry and Land Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Actuary's Department","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Actuary's Department","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Actuary's Department","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Actuary's Department","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Actuary's Department","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Internal Audit Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Internal Audit Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Internal Audit Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Internal Audit Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Internal Audit Agency","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Asian","Government Legal Department","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Legal Department","EO","40","40","[c]","[c]"
"In post","2021","Asian","Government Legal Department","G6/G7","170","150","57450","52100"
"In post","2021","Asian","Government Legal Department","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Legal Department","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Asian","Government Property Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Property Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Property Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Property Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Property Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Health and Safety Executive","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Health and Safety Executive","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Health and Safety Executive","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Health and Safety Executive","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Health and Safety Executive","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Asian","HM Courts and Tribunals Service","AA/AO","940","820","20780","20100"
"In post","2021","Asian","HM Courts and Tribunals Service","EO","230","220","25020","25560"
"In post","2021","Asian","HM Courts and Tribunals Service","G6/G7","30","30","[c]","[c]"
"In post","2021","Asian","HM Courts and Tribunals Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Courts and Tribunals Service","SEO/HEO","270","260","34550","33530"
"In post","2021","Asian","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","AA/AO","80","70","22900","22350"
"In post","2021","Asian","HM Land Registry","EO","70","60","27940","27130"
"In post","2021","Asian","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","SEO/HEO","50","50","37960","37290"
"In post","2021","Asian","HM Prison and Probation Service","AA/AO","580","560","26760","25450"
"In post","2021","Asian","HM Prison and Probation Service","EO","110","110","30340","30110"
"In post","2021","Asian","HM Prison and Probation Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Prison and Probation Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Prison and Probation Service","SEO/HEO","280","250","40560","38160"
"In post","2021","Asian","HM Prison and Probation Service","Unknown","520","480","29220","28200"
"In post","2021","Asian","HM Revenue and Customs (excl. agencies)","AA/AO","1360","1190","21090","20140"
"In post","2021","Asian","HM Revenue and Customs (excl. agencies)","EO","1020","970","27190","25560"
"In post","2021","Asian","HM Revenue and Customs (excl. agencies)","G6/G7","380","370","57440","59160"
"In post","2021","Asian","HM Revenue and Customs (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs (excl. agencies)","SEO/HEO","1410","1370","35030","33850"
"In post","2021","Asian","HM Treasury (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury (excl. agencies)","EO","30","30","[c]","[c]"
"In post","2021","Asian","HM Treasury (excl. agencies)","G6/G7","70","70","58740","57210"
"In post","2021","Asian","HM Treasury (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury (excl. agencies)","SEO/HEO","80","80","35240","32960"
"In post","2021","Asian","Home Office (incl. agencies)","AA/AO","1220","1070","23400","22210"
"In post","2021","Asian","Home Office (incl. agencies)","EO","1880","1740","28090","28760"
"In post","2021","Asian","Home Office (incl. agencies)","G6/G7","270","270","61120","57700"
"In post","2021","Asian","Home Office (incl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Home Office (incl. agencies)","SEO/HEO","1090","1050","37700","35320"
"In post","2021","Asian","Home Office (incl. agencies)","Unknown","30","30","[c]","[c]"
"In post","2021","Asian","Insolvency Service","AA/AO","70","60","21860","20880"
"In post","2021","Asian","Insolvency Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Insolvency Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Insolvency Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Insolvency Service","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Asian","Institute for Apprenticeships and Technical Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Institute for Apprenticeships and Technical Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Institute for Apprenticeships and Technical Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Institute for Apprenticeships and Technical Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Institute for Apprenticeships and Technical Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal Aid Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal Aid Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal Aid Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal Aid Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal Aid Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal Aid Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Maritime and Coastguard Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Maritime and Coastguard Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Maritime and Coastguard Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Maritime and Coastguard Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Maritime and Coastguard Agency","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Asian","Medicines and Healthcare Products Regulatory Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicines and Healthcare Products Regulatory Agency","EO","70","70","27690","27400"
"In post","2021","Asian","Medicines and Healthcare Products Regulatory Agency","G6/G7","60","50","58610","53830"
"In post","2021","Asian","Medicines and Healthcare Products Regulatory Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","120","120","37020","34330"
"In post","2021","Asian","Met Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Met Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Met Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Met Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Met Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence (excl. agencies)","AA/AO","340","320","22840","21130"
"In post","2021","Asian","Ministry of Defence (excl. agencies)","EO","160","160","28920","29200"
"In post","2021","Asian","Ministry of Defence (excl. agencies)","G6/G7","70","70","67340","64670"
"In post","2021","Asian","Ministry of Defence (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence (excl. agencies)","SEO/HEO","320","310","39830","39660"
"In post","2021","Asian","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government (excl. agencies)","EO","40","40","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government (excl. agencies)","G6/G7","60","60","55570","53130"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government (excl. agencies)","SEO/HEO","100","100","35610","34640"
"In post","2021","Asian","Ministry of Justice (excl. agencies)","AA/AO","30","30","[c]","[c]"
"In post","2021","Asian","Ministry of Justice (excl. agencies)","EO","100","100","25840","26410"
"In post","2021","Asian","Ministry of Justice (excl. agencies)","G6/G7","100","90","59130","58130"
"In post","2021","Asian","Ministry of Justice (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Justice (excl. agencies)","SEO/HEO","230","220","36370","35190"
"In post","2021","Asian","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","AA/AO","40","40","[c]","[c]"
"In post","2021","Asian","National Crime Agency","EO","110","110","33520","32770"
"In post","2021","Asian","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","SEO/HEO","80","80","43640","41910"
"In post","2021","Asian","National Infrastructure Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Infrastructure Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Infrastructure Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Infrastructure Commission","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Infrastructure Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Records of Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Records of Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Records of Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Records of Scotland","SCS","[c]","[c]","[c]","[c]"
