"Status","Year","Responsibility_level","Region_ITL2","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","20-29","290","290","26030","27850"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","30-39","240","230","25200","23520"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","40-49","210","190","24450","22850"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","50-59","330","310","23630","22430"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","60-64","130","120","22150","21590"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","65+","50","40","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","20-29","790","790","25940","26610"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","30-39","710","690","27140","25840"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","40-49","670","630","26230","22920"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","50-59","920","880","24940","22020"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","60-64","320","280","23340","21270"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","65+","150","130","22040","21560"
"In post","2021","AA/AO","Cheshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","20-29","260","250","22700","21300"
"In post","2021","AA/AO","Cheshire","30-39","220","210","23460","22600"
"In post","2021","AA/AO","Cheshire","40-49","220","200","23790","21050"
"In post","2021","AA/AO","Cheshire","50-59","360","320","23150","21010"
"In post","2021","AA/AO","Cheshire","60-64","120","100","22570","21010"
"In post","2021","AA/AO","Cheshire","65+","30","20","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","20-29","70","70","20830","21010"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","30-39","120","100","21060","21010"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","40-49","140","130","21120","21010"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","50-59","250","230","20710","21010"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","60-64","100","80","20830","21010"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","65+","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cumbria","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cumbria","20-29","140","140","21700","21050"
"In post","2021","AA/AO","Cumbria","30-39","160","140","22060","21050"
"In post","2021","AA/AO","Cumbria","40-49","250","220","21990","21050"
"In post","2021","AA/AO","Cumbria","50-59","260","230","22160","21050"
"In post","2021","AA/AO","Cumbria","60-64","80","70","21500","21050"
"In post","2021","AA/AO","Cumbria","65+","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","16-19","30","30","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","20-29","810","780","22100","21010"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","30-39","720","660","22420","21010"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","40-49","700","630","22200","21010"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","50-59","1100","990","22190","21010"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","60-64","340","270","21450","21010"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","65+","100","70","20600","20720"
"In post","2021","AA/AO","Devon","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Devon","20-29","530","520","22280","21080"
"In post","2021","AA/AO","Devon","30-39","570","510","22340","21010"
"In post","2021","AA/AO","Devon","40-49","610","540","22580","21010"
"In post","2021","AA/AO","Devon","50-59","920","820","22540","21010"
"In post","2021","AA/AO","Devon","60-64","350","280","21910","21010"
"In post","2021","AA/AO","Devon","65+","100","70","21410","21010"
"In post","2021","AA/AO","Dorset and Somerset","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Dorset and Somerset","20-29","290","280","22640","21490"
"In post","2021","AA/AO","Dorset and Somerset","30-39","290","270","23160","21710"
"In post","2021","AA/AO","Dorset and Somerset","40-49","300","280","22470","21010"
"In post","2021","AA/AO","Dorset and Somerset","50-59","560","520","22360","21010"
"In post","2021","AA/AO","Dorset and Somerset","60-64","210","190","21750","20970"
"In post","2021","AA/AO","Dorset and Somerset","65+","70","60","21200","20830"
"In post","2021","AA/AO","East Anglia","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Anglia","20-29","860","830","23790","21950"
"In post","2021","AA/AO","East Anglia","30-39","940","870","24320","21820"
"In post","2021","AA/AO","East Anglia","40-49","980","880","23690","21430"
"In post","2021","AA/AO","East Anglia","50-59","1450","1350","23000","21430"
"In post","2021","AA/AO","East Anglia","60-64","530","460","22190","21010"
"In post","2021","AA/AO","East Anglia","65+","180","140","21060","20720"
"In post","2021","AA/AO","East Wales","16-19","60","60","19330","20140"
"In post","2021","AA/AO","East Wales","20-29","1370","1340","21250","20500"
"In post","2021","AA/AO","East Wales","30-39","1130","1040","21570","21010"
"In post","2021","AA/AO","East Wales","40-49","940","840","21440","21010"
"In post","2021","AA/AO","East Wales","50-59","1490","1320","21550","21010"
"In post","2021","AA/AO","East Wales","60-64","560","450","21430","21010"
"In post","2021","AA/AO","East Wales","65+","190","140","21260","21010"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","20-29","470","460","23180","22350"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","30-39","430","390","23890","22850"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","40-49","400","360","23990","21550"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","50-59","630","560","24480","21550"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","60-64","160","120","24200","21280"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","65+","50","30","[c]","[c]"
"In post","2021","AA/AO","Eastern Scotland","16-19","90","90","20890","20850"
"In post","2021","AA/AO","Eastern Scotland","20-29","1410","1370","21730","21010"
"In post","2021","AA/AO","Eastern Scotland","30-39","1210","1110","22050","21010"
"In post","2021","AA/AO","Eastern Scotland","40-49","1210","1110","22080","21010"
"In post","2021","AA/AO","Eastern Scotland","50-59","1570","1450","22170","21130"
"In post","2021","AA/AO","Eastern Scotland","60-64","580","490","22220","21150"
"In post","2021","AA/AO","Eastern Scotland","65+","190","160","22170","21490"
"In post","2021","AA/AO","Essex","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Essex","20-29","270","270","23950","24180"
"In post","2021","AA/AO","Essex","30-39","240","210","24750","24180"
"In post","2021","AA/AO","Essex","40-49","350","320","23930","22150"
"In post","2021","AA/AO","Essex","50-59","490","450","23610","21440"
"In post","2021","AA/AO","Essex","60-64","170","140","23090","21440"
"In post","2021","AA/AO","Essex","65+","70","50","21040","21130"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","16-19","40","40","[c]","[c]"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","20-29","910","880","21380","20920"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","30-39","700","640","22670","21050"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","40-49","670","610","22620","21010"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","50-59","1050","980","22500","21010"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","60-64","350","310","22020","21010"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","65+","150","120","20750","20920"
"In post","2021","AA/AO","Greater Manchester","16-19","30","30","[c]","[c]"
"In post","2021","AA/AO","Greater Manchester","20-29","1160","1140","21040","20600"
"In post","2021","AA/AO","Greater Manchester","30-39","990","910","21380","21010"
"In post","2021","AA/AO","Greater Manchester","40-49","1120","1000","21280","21010"
"In post","2021","AA/AO","Greater Manchester","50-59","1740","1570","21520","21010"
"In post","2021","AA/AO","Greater Manchester","60-64","510","400","21150","21010"
"In post","2021","AA/AO","Greater Manchester","65+","160","110","20760","20890"
"In post","2021","AA/AO","Hampshire and Isle of Wight","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Hampshire and Isle of Wight","20-29","610","590","22350","20920"
"In post","2021","AA/AO","Hampshire and Isle of Wight","30-39","600","530","23510","21010"
"In post","2021","AA/AO","Hampshire and Isle of Wight","40-49","760","660","22970","20920"
"In post","2021","AA/AO","Hampshire and Isle of Wight","50-59","1650","1420","21940","20670"
"In post","2021","AA/AO","Hampshire and Isle of Wight","60-64","680","530","20980","20140"
"In post","2021","AA/AO","Hampshire and Isle of Wight","65+","350","250","20390","19560"
"In post","2021","AA/AO","Herefordshire, Worcestershire and Warwickshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Herefordshire, Worcestershire and Warwickshire","20-29","360","360","22600","22850"
"In post","2021","AA/AO","Herefordshire, Worcestershire and Warwickshire","30-39","330","310","23080","21430"
"In post","2021","AA/AO","Herefordshire, Worcestershire and Warwickshire","40-49","340","320","23900","21050"
"In post","2021","AA/AO","Herefordshire, Worcestershire and Warwickshire","50-59","570","530","23770","21010"
"In post","2021","AA/AO","Herefordshire, Worcestershire and Warwickshire","60-64","150","130","21560","21010"
"In post","2021","AA/AO","Herefordshire, Worcestershire and Warwickshire","65+","60","40","20950","20180"
"In post","2021","AA/AO","Highlands and Islands","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Highlands and Islands","20-29","120","120","22080","21100"
"In post","2021","AA/AO","Highlands and Islands","30-39","130","120","22840","22220"
"In post","2021","AA/AO","Highlands and Islands","40-49","170","160","22410","21010"
"In post","2021","AA/AO","Highlands and Islands","50-59","290","270","22370","21020"
"In post","2021","AA/AO","Highlands and Islands","60-64","100","90","21960","21590"
"In post","2021","AA/AO","Highlands and Islands","65+","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Inner London - East","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Inner London - East","20-29","510","500","25740","24490"
"In post","2021","AA/AO","Inner London - East","30-39","400","360","27010","25110"
"In post","2021","AA/AO","Inner London - East","40-49","530","480","25920","25110"
"In post","2021","AA/AO","Inner London - East","50-59","810","760","25870","25110"
"In post","2021","AA/AO","Inner London - East","60-64","280","250","25310","25110"
"In post","2021","AA/AO","Inner London - East","65+","170","140","25370","25110"
"In post","2021","AA/AO","Inner London - West","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Inner London - West","20-29","1130","1120","25440","24490"
"In post","2021","AA/AO","Inner London - West","30-39","640","610","26840","25390"
"In post","2021","AA/AO","Inner London - West","40-49","730","670","26280","24880"
"In post","2021","AA/AO","Inner London - West","50-59","1240","1190","25190","24370"
"In post","2021","AA/AO","Inner London - West","60-64","480","440","24640","24100"
"In post","2021","AA/AO","Inner London - West","65+","250","220","24470","24210"
"In post","2021","AA/AO","Kent","16-19","40","40","[c]","[c]"
"In post","2021","AA/AO","Kent","20-29","700","690","25750","24440"
"In post","2021","AA/AO","Kent","30-39","590","560","26260","25820"
"In post","2021","AA/AO","Kent","40-49","530","490","25200","24180"
"In post","2021","AA/AO","Kent","50-59","770","730","24560","23240"
"In post","2021","AA/AO","Kent","60-64","260","220","23100","22080"
"In post","2021","AA/AO","Kent","65+","90","70","21860","21440"
"In post","2021","AA/AO","Lancashire","16-19","40","40","[c]","[c]"
"In post","2021","AA/AO","Lancashire","20-29","970","940","21720","21010"
"In post","2021","AA/AO","Lancashire","30-39","1040","950","21840","21010"
"In post","2021","AA/AO","Lancashire","40-49","1440","1260","21830","21010"
"In post","2021","AA/AO","Lancashire","50-59","1860","1650","22100","21010"
"In post","2021","AA/AO","Lancashire","60-64","560","450","21750","21010"
"In post","2021","AA/AO","Lancashire","65+","190","140","21460","21010"
"In post","2021","AA/AO","Leicestershire, Rutland and Northamptonshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Leicestershire, Rutland and Northamptonshire","20-29","560","550","21960","21010"
"In post","2021","AA/AO","Leicestershire, Rutland and Northamptonshire","30-39","610","550","22340","21010"
"In post","2021","AA/AO","Leicestershire, Rutland and Northamptonshire","40-49","580","510","21970","21010"
"In post","2021","AA/AO","Leicestershire, Rutland and Northamptonshire","50-59","800","710","22060","21010"
"In post","2021","AA/AO","Leicestershire, Rutland and Northamptonshire","60-64","270","230","20900","20600"
"In post","2021","AA/AO","Leicestershire, Rutland and Northamptonshire","65+","70","50","20800","20140"
"In post","2021","AA/AO","Lincolnshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Lincolnshire","20-29","150","150","22920","21360"
"In post","2021","AA/AO","Lincolnshire","30-39","220","210","23340","21710"
"In post","2021","AA/AO","Lincolnshire","40-49","230","220","22320","21010"
"In post","2021","AA/AO","Lincolnshire","50-59","470","440","21970","20920"
"In post","2021","AA/AO","Lincolnshire","60-64","170","150","21310","20920"
"In post","2021","AA/AO","Lincolnshire","65+","50","40","20890","21010"
"In post","2021","AA/AO","Merseyside","16-19","50","40","[c]","[c]"
"In post","2021","AA/AO","Merseyside","20-29","1200","1150","21060","21430"
"In post","2021","AA/AO","Merseyside","30-39","1320","1180","21140","21400"
"In post","2021","AA/AO","Merseyside","40-49","1470","1290","21110","21010"
"In post","2021","AA/AO","Merseyside","50-59","2020","1760","21200","21110"
"In post","2021","AA/AO","Merseyside","60-64","810","640","21030","21010"
"In post","2021","AA/AO","Merseyside","65+","290","220","20780","21010"
"In post","2021","AA/AO","North Eastern Scotland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North Eastern Scotland","20-29","110","110","23830","22220"
"In post","2021","AA/AO","North Eastern Scotland","30-39","100","100","26150","22920"
"In post","2021","AA/AO","North Eastern Scotland","40-49","90","90","26440","22920"
"In post","2021","AA/AO","North Eastern Scotland","50-59","160","150","26020","22230"
"In post","2021","AA/AO","North Eastern Scotland","60-64","60","50","23630","22120"
"In post","2021","AA/AO","North Eastern Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North Yorkshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North Yorkshire","20-29","200","200","21760","20920"
"In post","2021","AA/AO","North Yorkshire","30-39","170","160","24040","21050"
"In post","2021","AA/AO","North Yorkshire","40-49","260","240","23450","21010"
"In post","2021","AA/AO","North Yorkshire","50-59","500","480","22430","20920"
"In post","2021","AA/AO","North Yorkshire","60-64","190","160","21130","20920"
"In post","2021","AA/AO","North Yorkshire","65+","60","50","20540","20350"
"In post","2021","AA/AO","Northern Ireland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northern Ireland","20-29","260","250","20360","20140"
"In post","2021","AA/AO","Northern Ireland","30-39","300","280","20610","20140"
"In post","2021","AA/AO","Northern Ireland","40-49","410","380","20940","20310"
"In post","2021","AA/AO","Northern Ireland","50-59","500","470","20970","20310"
"In post","2021","AA/AO","Northern Ireland","60-64","150","130","20870","20310"
"In post","2021","AA/AO","Northern Ireland","65+","60","50","20360","20220"
"In post","2021","AA/AO","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northumberland and Tyne and Wear","16-19","70","70","20480","20140"
"In post","2021","AA/AO","Northumberland and Tyne and Wear","20-29","1170","1120","20540","20140"
"In post","2021","AA/AO","Northumberland and Tyne and Wear","30-39","1500","1310","20580","20800"
"In post","2021","AA/AO","Northumberland and Tyne and Wear","40-49","1940","1650","20760","21010"
"In post","2021","AA/AO","Northumberland and Tyne and Wear","50-59","2790","2310","20810","21010"
"In post","2021","AA/AO","Northumberland and Tyne and Wear","60-64","1210","900","20760","21010"
"In post","2021","AA/AO","Northumberland and Tyne and Wear","65+","310","220","20680","21010"
"In post","2021","AA/AO","Northumberland and Tyne and Wear","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Outer London - East and North East","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Outer London - East and North East","20-29","300","290","27110","25110"
"In post","2021","AA/AO","Outer London - East and North East","30-39","280","270","28210","28720"
"In post","2021","AA/AO","Outer London - East and North East","40-49","260","240","26650","25110"
"In post","2021","AA/AO","Outer London - East and North East","50-59","390","370","26070","24890"
"In post","2021","AA/AO","Outer London - East and North East","60-64","120","100","25110","24890"
"In post","2021","AA/AO","Outer London - East and North East","65+","70","50","23580","23790"
"In post","2021","AA/AO","Outer London - South","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Outer London - South","20-29","320","310","23790","24120"
"In post","2021","AA/AO","Outer London - South","30-39","280","250","24130","24520"
"In post","2021","AA/AO","Outer London - South","40-49","360","330","24370","25630"
"In post","2021","AA/AO","Outer London - South","50-59","630","580","24380","25630"
"In post","2021","AA/AO","Outer London - South","60-64","240","220","24430","25630"
"In post","2021","AA/AO","Outer London - South","65+","180","140","23870","25630"
"In post","2021","AA/AO","Outer London - West and North West","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Outer London - West and North West","20-29","400","390","26440","25630"
"In post","2021","AA/AO","Outer London - West and North West","30-39","360","340","26890","25630"
"In post","2021","AA/AO","Outer London - West and North West","40-49","380","340","25740","25110"
"In post","2021","AA/AO","Outer London - West and North West","50-59","520","480","25140","25110"
"In post","2021","AA/AO","Outer London - West and North West","60-64","240","210","24320","24660"
"In post","2021","AA/AO","Outer London - West and North West","65+","150","110","23880","24590"
"In post","2021","AA/AO","Overseas","20-29","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","30-39","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","40-49","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","50-59","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","60-64","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","65+","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Shropshire and Staffordshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Shropshire and Staffordshire","20-29","650","630","22480","22350"
"In post","2021","AA/AO","Shropshire and Staffordshire","30-39","610","570","23240","22350"
"In post","2021","AA/AO","Shropshire and Staffordshire","40-49","600","550","22780","21050"
"In post","2021","AA/AO","Shropshire and Staffordshire","50-59","970","890","22840","21010"
"In post","2021","AA/AO","Shropshire and Staffordshire","60-64","320","260","21790","21010"
"In post","2021","AA/AO","Shropshire and Staffordshire","65+","90","70","20740","20600"
"In post","2021","AA/AO","South Yorkshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South Yorkshire","20-29","620","610","22250","21430"
"In post","2021","AA/AO","South Yorkshire","30-39","640","570","22220","21430"
"In post","2021","AA/AO","South Yorkshire","40-49","570","490","21860","21010"
"In post","2021","AA/AO","South Yorkshire","50-59","850","750","22030","21010"
"In post","2021","AA/AO","South Yorkshire","60-64","310","230","21650","21010"
"In post","2021","AA/AO","South Yorkshire","65+","90","60","20980","21010"
"In post","2021","AA/AO","Southern Scotland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Southern Scotland","20-29","330","320","21010","20140"
"In post","2021","AA/AO","Southern Scotland","30-39","390","340","21140","20140"
"In post","2021","AA/AO","Southern Scotland","40-49","420","370","21520","21010"
"In post","2021","AA/AO","Southern Scotland","50-59","710","610","21640","21400"
"In post","2021","AA/AO","Southern Scotland","60-64","290","220","21510","21440"
"In post","2021","AA/AO","Southern Scotland","65+","80","60","21470","21010"
"In post","2021","AA/AO","Surrey, East and West Sussex","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Surrey, East and West Sussex","20-29","560","550","25450","24370"
"In post","2021","AA/AO","Surrey, East and West Sussex","30-39","520","480","26160","24370"
"In post","2021","AA/AO","Surrey, East and West Sussex","40-49","500","450","24640","21710"
"In post","2021","AA/AO","Surrey, East and West Sussex","50-59","850","770","23630","21440"
"In post","2021","AA/AO","Surrey, East and West Sussex","60-64","340","290","22280","21010"
"In post","2021","AA/AO","Surrey, East and West Sussex","65+","140","110","22440","21440"
"In post","2021","AA/AO","Surrey, East and West Sussex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Tees Valley and Durham","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Tees Valley and Durham","20-29","840","810","22190","21430"
"In post","2021","AA/AO","Tees Valley and Durham","30-39","940","860","22740","21430"
"In post","2021","AA/AO","Tees Valley and Durham","40-49","950","850","22990","21430"
"In post","2021","AA/AO","Tees Valley and Durham","50-59","1360","1200","23690","21430"
"In post","2021","AA/AO","Tees Valley and Durham","60-64","450","330","22830","21100"
"In post","2021","AA/AO","Tees Valley and Durham","65+","130","100","21730","21010"
"In post","2021","AA/AO","Unknown","20-29","50","50","[c]","[c]"
"In post","2021","AA/AO","Unknown","30-39","30","30","[c]","[c]"
"In post","2021","AA/AO","Unknown","40-49","40","30","[c]","[c]"
"In post","2021","AA/AO","Unknown","50-59","70","70","22810","22080"
"In post","2021","AA/AO","Unknown","60-64","40","30","[c]","[c]"
"In post","2021","AA/AO","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","West Central Scotland","16-19","50","50","20500","20140"
"In post","2021","AA/AO","West Central Scotland","20-29","1240","1190","21530","20920"
"In post","2021","AA/AO","West Central Scotland","30-39","1310","1200","22450","21010"
"In post","2021","AA/AO","West Central Scotland","40-49","1290","1170","22390","21010"
"In post","2021","AA/AO","West Central Scotland","50-59","2200","1950","22500","21010"
"In post","2021","AA/AO","West Central Scotland","60-64","680","530","21400","21010"
"In post","2021","AA/AO","West Central Scotland","65+","210","160","21150","21010"
"In post","2021","AA/AO","West Central Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","West Midlands","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","West Midlands","20-29","1010","980","20680","20140"
"In post","2021","AA/AO","West Midlands","30-39","1080","960","20700","20140"
"In post","2021","AA/AO","West Midlands","40-49","1080","930","21100","20920"
"In post","2021","AA/AO","West Midlands","50-59","1460","1280","21160","20980"
"In post","2021","AA/AO","West Midlands","60-64","490","400","20780","21010"
"In post","2021","AA/AO","West Midlands","65+","140","110","20730","21010"
"In post","2021","AA/AO","West Midlands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","West Wales and The Valleys","16-19","60","50","19920","21010"
"In post","2021","AA/AO","West Wales and The Valleys","20-29","1150","1090","21250","21590"
"In post","2021","AA/AO","West Wales and The Valleys","30-39","1780","1550","21170","21590"
"In post","2021","AA/AO","West Wales and The Valleys","40-49","1570","1380","21130","21590"
"In post","2021","AA/AO","West Wales and The Valleys","50-59","1690","1470","21080","21050"
"In post","2021","AA/AO","West Wales and The Valleys","60-64","710","520","20780","21010"
"In post","2021","AA/AO","West Wales and The Valleys","65+","230","160","20600","21010"
"In post","2021","AA/AO","West Yorkshire","16-19","60","60","20350","20140"
"In post","2021","AA/AO","West Yorkshire","20-29","1310","1280","21590","20600"
"In post","2021","AA/AO","West Yorkshire","30-39","980","870","22080","21010"
"In post","2021","AA/AO","West Yorkshire","40-49","940","820","22350","21010"
"In post","2021","AA/AO","West Yorkshire","50-59","1220","1080","22400","21010"
"In post","2021","AA/AO","West Yorkshire","60-64","440","340","21720","21010"
"In post","2021","AA/AO","West Yorkshire","65+","130","100","21100","20620"
"In post","2021","EO","Bedfordshire and Hertfordshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","EO","Bedfordshire and Hertfordshire","20-29","220","210","28470","28000"
"In post","2021","EO","Bedfordshire and Hertfordshire","30-39","270","260","28760","29290"
"In post","2021","EO","Bedfordshire and Hertfordshire","40-49","370","350","28890","29290"
"In post","2021","EO","Bedfordshire and Hertfordshire","50-59","540","490","29310","29290"
"In post","2021","EO","Bedfordshire and Hertfordshire","60-64","150","130","29460","29290"
"In post","2021","EO","Bedfordshire and Hertfordshire","65+","50","40","29540","29530"
"In post","2021","EO","Berkshire, Buckinghamshire and Oxfordshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","EO","Berkshire, Buckinghamshire and Oxfordshire","20-29","370","370","28040","27570"
"In post","2021","EO","Berkshire, Buckinghamshire and Oxfordshire","30-39","450","430","29720","27810"
"In post","2021","EO","Berkshire, Buckinghamshire and Oxfordshire","40-49","530","500","29530","27570"
"In post","2021","EO","Berkshire, Buckinghamshire and Oxfordshire","50-59","760","730","29700","28640"
"In post","2021","EO","Berkshire, Buckinghamshire and Oxfordshire","60-64","230","200","28830","28350"
"In post","2021","EO","Berkshire, Buckinghamshire and Oxfordshire","65+","70","60","28160","27670"
"In post","2021","EO","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Cheshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","EO","Cheshire","20-29","300","300","29270","28840"
"In post","2021","EO","Cheshire","30-39","340","330","30160","28840"
"In post","2021","EO","Cheshire","40-49","290","280","29800","27570"
"In post","2021","EO","Cheshire","50-59","410","380","29170","27570"
"In post","2021","EO","Cheshire","60-64","80","60","29230","27570"
"In post","2021","EO","Cheshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","EO","Cornwall and Isles of Scilly","20-29","40","40","[c]","[c]"
"In post","2021","EO","Cornwall and Isles of Scilly","30-39","90","90","27270","27570"
"In post","2021","EO","Cornwall and Isles of Scilly","40-49","150","140","27340","27570"
"In post","2021","EO","Cornwall and Isles of Scilly","50-59","250","230","27160","27570"
"In post","2021","EO","Cornwall and Isles of Scilly","60-64","70","60","27130","27570"
"In post","2021","EO","Cornwall and Isles of Scilly","65+","[c]","[c]","[c]","[c]"
"In post","2021","EO","Cumbria","20-29","40","40","[c]","[c]"
"In post","2021","EO","Cumbria","30-39","90","80","25340","25190"
"In post","2021","EO","Cumbria","40-49","170","150","26570","26350"
"In post","2021","EO","Cumbria","50-59","210","200","26160","26520"
"In post","2021","EO","Cumbria","60-64","60","50","26280","26780"
"In post","2021","EO","Cumbria","65+","[c]","[c]","[c]","[c]"
"In post","2021","EO","Derbyshire and Nottinghamshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","EO","Derbyshire and Nottinghamshire","20-29","580","570","25880","25560"
"In post","2021","EO","Derbyshire and Nottinghamshire","30-39","700","660","26350","26330"
"In post","2021","EO","Derbyshire and Nottinghamshire","40-49","830","750","27050","27570"
"In post","2021","EO","Derbyshire and Nottinghamshire","50-59","1100","1020","27100","27570"
"In post","2021","EO","Derbyshire and Nottinghamshire","60-64","260","200","27230","27570"
"In post","2021","EO","Derbyshire and Nottinghamshire","65+","70","50","26900","27570"
"In post","2021","EO","Devon","16-19","[c]","[c]","[c]","[c]"
"In post","2021","EO","Devon","20-29","290","290","26420","27130"
"In post","2021","EO","Devon","30-39","430","390","27270","27570"
"In post","2021","EO","Devon","40-49","550","500","27300","27570"
"In post","2021","EO","Devon","50-59","770","710","27290","27570"
"In post","2021","EO","Devon","60-64","230","190","26220","27130"
"In post","2021","EO","Devon","65+","70","50","25740","26780"
"In post","2021","EO","Dorset and Somerset","16-19","[c]","[c]","[c]","[c]"
"In post","2021","EO","Dorset and Somerset","20-29","150","140","26270","26740"
"In post","2021","EO","Dorset and Somerset","30-39","230","220","26850","27250"
