"Status","Year","Region_ITL3","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Heterosexual / straight","1070","1010","38000","31700"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","LGBO","60","60","33630","28410"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Undeclared","210","190","34990","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Unknown","520","490","33270","30650"
"In post","2021","Angus and Dundee City","Scotland","Heterosexual / straight","1200","1110","27130","23340"
"In post","2021","Angus and Dundee City","Scotland","LGBO","80","80","24450","21010"
"In post","2021","Angus and Dundee City","Scotland","Undeclared","170","150","24360","21440"
"In post","2021","Angus and Dundee City","Scotland","Unknown","460","420","24880","21010"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Heterosexual / straight","160","150","23590","20310"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Unknown","40","30","[c]","[c]"
"In post","2021","Ards and North Down","Northern Ireland","Heterosexual / straight","190","180","26280","21080"
"In post","2021","Ards and North Down","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","Heterosexual / straight","400","370","30520","31060"
"In post","2021","Barking & Dagenham and Havering","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","Undeclared","50","40","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","Unknown","140","120","30390","31060"
"In post","2021","Barnet","London","Heterosexual / straight","1130","1070","37760","32330"
