"Status","Year","Age","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","FCDO Services","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Government Actuary's Department","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Government Actuary's Department","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Health and Safety Executive","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Health and Safety Executive","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Health and Safety Executive","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Heterosexual / straight","60","50","22330","22850"
"In post","2021","16-19","HM Prison and Probation Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Unknown","30","30","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","70","70","20590","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Unknown","150","140","20440","20140"
"In post","2021","16-19","HM Treasury (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Heterosexual / straight","40","30","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","Insolvency Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Insolvency Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Insolvency Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Institute for Apprenticeships and Technical Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Institute for Apprenticeships and Technical Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Institute for Apprenticeships and Technical Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Maritime and Coastguard Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Maritime and Coastguard Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Maritime and Coastguard Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Medicines and Healthcare Products Regulatory Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Medicines and Healthcare Products Regulatory Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Met Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Met Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Met Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Records of Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Records of Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Records of Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Budget Responsibility","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Budget Responsibility","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Budget Responsibility","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of the Public Guardian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of the Public Guardian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Royal Fleet Auxiliary","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Royal Fleet Auxiliary","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Royal Fleet Auxiliary","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","Rural Payments Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Rural Payments Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Prison Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Prison Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Prison Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Student Awards Agency for Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Student Awards Agency for Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Submarine Delivery Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Submarine Delivery Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Submarine Delivery Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Transport Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Transport Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Transport Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Hydrographic Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Hydrographic Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Intellectual Property Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Intellectual Property Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Intellectual Property Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Vehicle Certification Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Vehicle Certification Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Vehicle Certification Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Accountant in Bankruptcy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Accountant in Bankruptcy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","50","50","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Unknown","60","50","26210","24250"
"In post","2021","20-29","Animal and Plant Health Agency","Heterosexual / straight","310","310","25180","24920"
"In post","2021","20-29","Animal and Plant Health Agency","LGBO","60","60","25700","24920"
"In post","2021","20-29","Animal and Plant Health Agency","Undeclared","40","40","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","Unknown","40","40","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Heterosexual / straight","1070","1070","36450","34550"
"In post","2021","20-29","Cabinet Office (excl. agencies)","LGBO","190","190","37820","34550"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Undeclared","130","130","37930","34550"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Unknown","2010","2010","32020","29250"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Unknown","50","50","25010","24920"
"In post","2021","20-29","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","Heterosexual / straight","80","70","26640","24500"
"In post","2021","20-29","Companies House","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","Unknown","40","40","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Heterosexual / straight","120","120","39230","34150"
"In post","2021","20-29","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Criminal Injuries Compensation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Criminal Injuries Compensation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Criminal Injuries Compensation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Heterosexual / straight","80","80","28930","27770"
"In post","2021","20-29","Crown Commercial Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Unknown","50","50","28150","27770"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Heterosexual / straight","350","340","26240","22220"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Prosecution Service","Heterosexual / straight","690","680","27860","25480"
"In post","2021","20-29","Crown Prosecution Service","LGBO","60","60","26610","24590"
"In post","2021","20-29","Crown Prosecution Service","Undeclared","40","40","[c]","[c]"
"In post","2021","20-29","Crown Prosecution Service","Unknown","100","100","25800","24590"
"In post","2021","20-29","Debt Management Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt Management Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt Management Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Electronics and Components Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Electronics and Components Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Electronics and Components Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Equipment and Support","Heterosexual / straight","1580","1570","26690","26070"
"In post","2021","20-29","Defence Equipment and Support","LGBO","100","100","25740","26070"
"In post","2021","20-29","Defence Equipment and Support","Undeclared","120","120","28120","28120"
"In post","2021","20-29","Defence Equipment and Support","Unknown","240","240","26430","27540"
"In post","2021","20-29","Defence Science and Technology Laboratory","Heterosexual / straight","640","640","29180","28650"
"In post","2021","20-29","Defence Science and Technology Laboratory","LGBO","70","70","28680","28650"
"In post","2021","20-29","Defence Science and Technology Laboratory","Undeclared","30","30","[c]","[c]"
"In post","2021","20-29","Defence Science and Technology Laboratory","Unknown","160","160","28720","28650"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","1190","1190","40880","39500"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","230","220","40650","40050"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","130","130","41350","39650"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","280","280","39440","36990"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Heterosexual / straight","460","460","41110","35180"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","LGBO","90","90","41580","34090"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Undeclared","40","40","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Unknown","90","90","39420","34020"
"In post","2021","20-29","Department for Education (excl. agencies)","Heterosexual / straight","810","810","36250","33300"
"In post","2021","20-29","Department for Education (excl. agencies)","LGBO","110","110","35170","32940"
"In post","2021","20-29","Department for Education (excl. agencies)","Undeclared","60","60","37240","36500"
"In post","2021","20-29","Department for Education (excl. agencies)","Unknown","270","270","35880","32940"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","740","730","34510","32560"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","LGBO","100","100","35580","33120"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","80","80","34360","32560"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","200","200","36190","33120"
"In post","2021","20-29","Department for International Trade","Heterosexual / straight","510","500","36780","32120"
"In post","2021","20-29","Department for International Trade","LGBO","90","90","38840","38160"
"In post","2021","20-29","Department for International Trade","Undeclared","30","30","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Unknown","320","320","37570","33360"
"In post","2021","20-29","Department for Transport (excl. agencies)","Heterosexual / straight","550","540","38870","35060"
"In post","2021","20-29","Department for Transport (excl. agencies)","LGBO","80","80","37630","34710"
"In post","2021","20-29","Department for Transport (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport (excl. agencies)","Unknown","270","270","36760","34710"
"In post","2021","20-29","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","7260","7140","26620","27570"
"In post","2021","20-29","Department for Work and Pensions (excl. agencies)","LGBO","960","950","26140","27570"
"In post","2021","20-29","Department for Work and Pensions (excl. agencies)","Undeclared","480","470","26470","27570"
