"Status","Year","Ethnicity","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Education","30","30","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","HM Revenue and Customs","70","70","40580","36350"
"In post","2021","Asian","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","Asian","Analysis","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","United Kingdom Statistics Authority","40","40","[c]","[c]"
"In post","2021","Asian","Analysis","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Ministry of Defence","60","50","36540","34320"
"In post","2021","Asian","Commercial","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Ministry of Justice","60","60","38430","34360"
"In post","2021","Asian","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","HM Revenue and Customs","280","270","28660","25560"
"In post","2021","Asian","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Ministry of Defence","70","60","27410","21950"
"In post","2021","Asian","Communications","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","HM Revenue and Customs","570","550","31870","29570"
"In post","2021","Asian","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","HM Revenue and Customs","350","300","23540","24120"
"In post","2021","Asian","Debt","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Cabinet Office","100","100","48370","54700"
"In post","2021","Asian","Digital, Data & Technology","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","50","40","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Department for Education","70","70","36980","36500"
"In post","2021","Asian","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Department of Health and Social Care","60","50","44580","41010"
"In post","2021","Asian","Digital, Data & Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","HM Revenue and Customs","160","160","38970","32340"
"In post","2021","Asian","Digital, Data & Technology","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Ministry of Justice","100","90","44940","40880"
"In post","2021","Asian","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
